Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP1_Full64; Runtime version O-2018.09-SP1_Full64;  May 21 00:58 2021
Doing SDF annotation ...... Done
Started toggle measurement at         650...
mismatch cycle  727: out_BUS16_S3_T2: got 04c6, expected 0478
mismatch cycle  727: out_BUS16_S3_T3: got 04c6, expected 0478
mismatch cycle  727: out_BUS16_S3_T4: got 04c6, expected 0478
mismatch cycle  728: out_BUS16_S1_T1: got 0485, expected 04c6
mismatch cycle  728: out_BUS16_S3_T1: got 0485, expected 04c6
mismatch cycle  728: out_BUS16_S3_T2: got 0485, expected 04c6
mismatch cycle  728: out_BUS16_S3_T3: got 0485, expected 04c6
mismatch cycle  728: out_BUS16_S3_T4: got 0485, expected 04c6
mismatch cycle  729: out_BUS16_S1_T1: got 045e, expected 0485
mismatch cycle  729: out_BUS16_S3_T1: got 045e, expected 0485
mismatch cycle  729: out_BUS16_S3_T2: got 045e, expected 0485
mismatch cycle  729: out_BUS16_S3_T3: got 045e, expected 0485
mismatch cycle  729: out_BUS16_S3_T4: got 045e, expected 0485
mismatch cycle  730: out_BUS16_S1_T1: got 0485, expected 045e
mismatch cycle  730: out_BUS16_S3_T1: got 0485, expected 045e
mismatch cycle  730: out_BUS16_S3_T2: got 0485, expected 045e
mismatch cycle  730: out_BUS16_S3_T3: got 0485, expected 045e
mismatch cycle  730: out_BUS16_S3_T4: got 0485, expected 045e
mismatch cycle  731: out_BUS16_S1_T1: got 045e, expected 0485
mismatch cycle  731: out_BUS16_S3_T1: got 045e, expected 0485
mismatch cycle  731: out_BUS16_S3_T2: got 045e, expected 0485
mismatch cycle  731: out_BUS16_S3_T3: got 045e, expected 0485
mismatch cycle  731: out_BUS16_S3_T4: got 045e, expected 0485
mismatch cycle  732: out_BUS16_S1_T1: got 0444, expected 045e
mismatch cycle  732: out_BUS16_S3_T1: got 0444, expected 045e
mismatch cycle  732: out_BUS16_S3_T2: got 0444, expected 045e
